headword,part(s) of speech,stars
cane,noun,1
cannot,modal_verb,3
canoe,noun,1
canteen,noun,1
canvas,noun,1
cap,noun,2
cap,verb,1
capability,noun,2
capable,adj,3
capacity,noun,3
capital,noun,3
capital,adj,2
capitalism,noun,2
capitalist,noun,2
capitalist,adj,1
captain,noun,3
captive,adj,1
capture,verb,2
capture,noun,1
car,noun,3
caravan,noun,2
carbon,noun,2
carbon_dioxide,noun,1
card,noun,3
cardboard,noun,1
care,noun,3
care,verb,3
career,noun,3
careful,adj,3
careless,adj,1
cargo,noun,1
carpet,noun,2
carriage,noun,1
carrier,noun,1
carrot,noun,1
carry,verb,3
cart,noun,1
cartoon,noun,1
carve,verb,2
carving,noun,1
case,noun,3
cash,noun,3
cash,verb,1
cash_flow,noun,1
cassette,noun,1
cast,verb,3
cast,noun,1
castle,noun,2
casual,adj,2
cat,noun,3
catalogue,noun,2
catch,verb,3
catch,noun,1
cater,verb,2
catering,noun,1
cathedral,noun,2
cattle,noun,2
causal,adj,1
cause,noun,3
cause,verb,3
caution,noun,2
cautious,adj,1
cave,noun,2
CD,noun,2
CD-ROM,noun,1
cease,verb,2
ceasefire,noun,1
ceiling,noun,2
celebrate,verb,3
celebrated,adj,1
celebration,noun,2
celebrity,noun,1
cell,noun,3
cellar,noun,1
cement,noun,1
cemetery,noun,1
census,noun,1
cent,noun,1
central,adj,3
centre,noun,3
centre,verb,2
century,noun,3
cereal,noun,1
ceremony,noun,2
certain,adj,3
certain,determiner,2
certainly,adv,3
certainty,noun,2
certificate,noun,2
chain,noun,3
chair,noun,3
chair,verb,1
chairman,noun,3
challenge,noun,3
challenge,verb,3
chamber,noun,2
champion,noun,3
champion,verb,1
championship,noun,3
chance,noun,3
chancellor,noun,2
change,verb,3
change,noun,3
changed,adj,1
channel,noun,3
channel,verb,1
chaos,noun,2
chap,noun,1
chapel,noun,2
chapter,noun,3
character,noun,3
characteristic,noun,2
characteristic,adj,2
characterize,verb,2
charge,noun,3
charge,verb,3
charitable,adj,1
charity,noun,3
charm,noun,2
charm,verb,1
charming,adj,2
chart,noun,2
chart,verb,1
charter,noun,2
chase,verb,2
chase,noun,1
chat,verb,2
chat,noun,1
chat_show,noun,1
cheap,adj,3
cheat,verb,1
check,verb,3
check,noun,2
cheek,noun,2
cheer,verb,2
cheer,noun,1
cheerful,adj,1
cheese,noun,2
chef,noun,1
chemical,noun,3
chemical,adj,2
chemist,noun,2
chemistry,noun,2
cheque,noun,2
cherry,noun,1
chess,noun,1
chest,noun,3
chew,verb,2
chicken,noun,2
chief,adj,3
chief,noun,3
chief_executive,noun,1
chiefly,adv,1
child,noun,3
childhood,noun,2
childish,adj,1
chill,verb,1
chill,noun,1
chimney,noun,1
chin,noun,2
chip,noun,2
chip,verb,1
chocolate,noun,2
choice,noun,3
choir,noun,1
choke,verb,1
cholesterol,noun,1
choose,verb,3
chop,verb,2
chord,noun,1
chorus,noun,1
chosen,adj,1
Christian,adj,3
Christian,noun,1
Christmas,noun,3
chronic,adj,1
church,noun,3
cigarette,noun,3
cinema,noun,2
circle,noun,3
circle,verb,1
circuit,noun,2
circular,adj,1
circulate,verb,2
circulation,noun,2
circumstance,noun,3
cite,verb,1
citizen,noun,3
citizenship,noun,1
city,noun,3
civil,adj,3
civilian,noun,1
civilian,adj,1
civilization,noun,1
civil_war,noun,1
claim,verb,3
claim,noun,3
clap,verb,1
clarify,verb,1
clarity,noun,1
clash,noun,2
clash,verb,1
clasp,verb,1
class,noun,3
classic,adj,2
classic,noun,2
classical,adj,2
classical_music,noun,1
classification,noun,2
classify,verb,2
classroom,noun,2
clause,noun,1
clay,noun,2
clean,adj,3
clean,verb,3
cleaner,noun,1
cleaning,noun,1
clear,adj,3
clear,verb,3
clear,adv,1
clearly,adv,3
clergy,noun,2
clerical,adj,1
clerk,noun,1
clever,adj,2
click,verb,1
click,noun,1
client,noun,3
cliff,noun,2
climate,noun,2
climax,noun,1
climb,verb,3
climb,noun,1
cling,verb,2
clinic,noun,2
clinical,adj,2
clip,verb,1
clip,noun,1
cloak,noun,1
clock,noun,2
clone,noun,1
clone,verb,1
close,verb,3
close,adj,3
close,adv,3
close,noun,1
closed,adj,2
closely,adv,3
closure,noun,2
cloth,noun,2
clothes,noun,3
clothing,noun,2
cloud,noun,3
cloud,verb,1
club,noun,3
clue,noun,2
clumsy,adj,1
cluster,noun,1
clutch,verb,2
clutch,noun,1
coach,noun,2
coach,verb,1
coal,noun,3
coalition,noun,2
coarse,adj,1
coast,noun,3
coastal,adj,2
coat,noun,3
cocaine,noun,1
cocoa,noun,1
code,noun,3
code,verb,2
coffee,noun,3
coffin,noun,2
coherent,adj,1
coil,noun,1
coin,noun,2
coincide,verb,2
coincidence,noun,1
cold,adj,3
cold,noun,2
collaborate,verb,1
collaboration,noun,2
collapse,verb,2
collapse,noun,2
collar,noun,2
colleague,noun,3
collect,verb,3
collection,noun,3
collective,adj,2
collectively,adv,1
collector,noun,2
college,noun,3
collide,verb,1
collision,noun,1
colloquial,adj,1
colon,noun,1
colonel,noun,1
colonial,adj,2
colony,noun,2
colour,noun,3
colour,verb,2
coloured,adj,2
colourful,adj,1
colouring,noun,1
column,noun,3
comb,noun,1
comb,verb,1
combat,noun,1
combat,verb,1
combination,noun,3
combine,verb,3
combined,adj,2
come,verb,3
comeback,noun,1
comedy,noun,2
comfort,noun,2
comfort,verb,1
comfortable,adj,3
comic,adj,1
comic,noun,1
coming,adj,2
coming,noun,1
comma,noun,1
command,noun,3
command,verb,2
commander,noun,2
commemorate,verb,1
commence,verb,2
comment,noun,3
comment,verb,3
commentary,noun,1
commentator,noun,2
commerce,noun,2
commercial,adj,3
commercial,noun,1
commission,noun,3
commission,verb,2
commissioner,noun,2
commit,verb,3
commitment,noun,3
committed,adj,1
committee,noun,3
commodity,noun,2
common,adj,3
commonly,adv,2
common_sense,noun,1
communal,adj,1
communicate,verb,2
communication,noun,3
communicative,adj,1
communion,noun,1
communism,noun,1
communist,noun,2
communist,adj,2
community,noun,3
commuter,noun,1
compact,adj,1
companion,noun,2
company,noun,3
comparable,adj,2
comparative,adj,2
comparatively,adv,1
compare,verb,3
comparison,noun,3
compartment,noun,1
compass,noun,1
compatible,adj,1
compel,verb,2
compensate,verb,2
compensation,noun,2
compete,verb,3
competence,noun,2
competent,adj,2
competing,adj,1
competition,noun,3
competitive,adj,2
competitor,noun,2
compile,verb,2
complain,verb,3
complaint,noun,3
complement,verb,1
complement,noun,1
complementary,adj,1
complete,adj,3
complete,verb,3
completed,adj,1
completely,adv,3
completion,noun,2
complex,adj,3
complex,noun,2
complexion,noun,1
complexity,noun,2
compliance,noun,1
complicate,verb,2
complicated,adj,2
complication,noun,2
compliment,noun,1
comply,verb,2
component,noun,2
compose,verb,2
composer,noun,2
composite,adj,1
composition,noun,2
compound,noun,2
compound,verb,1
comprehension,noun,1
comprehensive,adj,2
comprise,verb,2
compromise,noun,2
compromise,verb,1
compulsory,adj,2
compute,verb,1
computer,noun,3
computing,noun,1
con,noun,1
conceal,verb,2
concede,verb,2
conceive,verb,2
concentrate,verb,3
concentration,noun,3
concept,noun,3
conception,noun,2
concern,noun,3
concern,verb,3
concerned,adj,3
concerning,preposition,2
concert,noun,2
concession,noun,2
conclude,verb,3
conclusion,noun,3
conclusive,adj,1
concrete,adj,2
concrete,noun,1
condemn,verb,2
condition,noun,3
conditional,adj,1
conduct,verb,3
conduct,noun,2
conductor,noun,1
cone,noun,1
confer,verb,1
conference,noun,3
confess,verb,2
confession,noun,1
confide,verb,1
confidence,noun,3
confident,adj,2
confidential,adj,1
configuration,noun,1
confine,verb,1
confirm,verb,3
confirmation,noun,1
conflict,noun,3
conflict,verb,1
conform,verb,1
confront,verb,2
confrontation,noun,2
confuse,verb,2
confused,adj,2
confusing,adj,1
confusion,noun,2
congratulate,verb,1
congratulation,noun,1
congregation,noun,1
connect,verb,3
connected,adj,1
connection,noun,3
conquer,verb,1
conquest,noun,1
conscience,noun,2
conscious,adj,2
consciously,adv,1
consciousness,noun,2
consensus,noun,2
consent,noun,2
consent,verb,1
consequence,noun,3
consequent,adj,1
consequently,adv,2
conservation,noun,3
conservationist,noun,1
conservative,adj,2
consider,verb,3
considerable,adj,3
considerably,adv,2
consideration,noun,3
considering,"preposition,_conjunction",2
consist,verb,3
consistency,noun,1
consistent,adj,2
consolidate,verb,1
consonant,noun,1
conspiracy,noun,1
constable,noun,2
constant,adj,3
constantly,adv,2
