XrefEntry,Phrasal,XrefType,
match,come up to,synonym
match,live up to,synonym
mature,grow up,synonym
maximize,play up,synonym
meet,come together,synonym
mend,patch up,synonym
mention,bring up,synonym
mention,rake up,synonym
mention,touch on,synonym
minimize,play down,synonym
misbehave,act up,synonym
misbehave,play up,synonym
mislead,fob off,synonym
mistreat,dump on,synonym
moderate,tone down,synonym
moor,tie up,synonym
near,gain on,synonym
neaten,straighten up,synonym
need,depend on,synonym
nerve,psych up,synonym
notice,pick up on,synonym
notice,spy out,synonym
obey,abide by,synonym
obey,keep to,synonym
obstruct,block off,synonym
obstruct,block up,synonym
obtain,come by,synonym
obtain,take out ,synonym
occupy,take up,synonym
occupy,tie up,synonym
occur,go on,synonym
offset,balance out,synonym
offset,cancel out,synonym
omit,leave out,synonym
omit,miss out,synonym
open,come out,synonym
organize,set up,synonym
oust,turf out,synonym
outdistance,leave behind,synonym
outdo,rise above,synonym
overact,ham up,synonym
overcome,break down,synonym
overcome,break through,synonym
overcome,get over,synonym
overflow,boil over,synonym
overflow,brim over,synonym
overflow,brim over,synonym
overflow,run over,synonym
overflow,spill over,synonym
overrun,run over,synonym
oversleep,sleep in,synonym
overthrow,bring down,synonym
overturn,set aside,synonym
part,split up,synonym
part,split up,synonym
participate,join in,synonym
pass,hand over,synonym
pass,while away,synonym
perform,go through,synonym
persevere,soldier on,synonym
persuade,prevail on,synonym
phone,call up,synonym
phone,ring up,synonym
plateau,level off,synonym
plug,fill in,synonym
ponder,chew over,synonym
ponder,mull over,synonym
ponder,puzzle over,synonym
postpone,hold over,synonym
postpone,put back,synonym
postpone,put off,synonym
postpone,put off,synonym
precede,lead up to,synonym
prepare,cook up,synonym
prepare,make up,synonym
prepare,rustle up,synonym
press,force on,synonym
pressurize,lean on,synonym
pretend,make out,synonym
prevent,head off,synonym
produce,bring forth,synonym
produce,come across with,synonym
produce,come up with,synonym
produce,turn out,synonym
profit,cash in,synonym
progress,come along,synonym
progress,come on,synonym
progress,move along,synonym
progress,move on,synonym
prolong,draw out,synonym
prolong,string out,synonym
promote,move up,synonym
propose,put forward,synonym
prosecute,have up for,synonym
protrude,stick out,synonym
provide,lay on,synonym
prune,cut back,synonym
publish,get out,synonym
pursue,come after,synonym
pursue,go after,synonym
pursue,run after,synonym
quell,put down,synonym
raise,bring up,synonym
raise,bring up,synonym
raise,bring up,synonym
raise,bump up,synonym
raise,put up,synonym
reach,get at,synonym
rebel,rise up,synonym
rebuke,tick off,synonym
recall,dredge up,synonym
recall,look back,synonym
receive,pick up,synonym
recite,reel off,synonym
recline,lie back,synonym
record,write down,synonym
recover,bounce back,synonym
recover,bounce back,synonym
recover,claw back,synonym
recover,claw back,synonym
recruit,sign on,synonym
recruit,sign up,synonym
recruit,take on,synonym
recur,come around,synonym
recur,come back,synonym
redeem,cash in,synonym
reduce,boil down,synonym
reduce,bring down,synonym
reduce,cut back,synonym
reduce,cut back,synonym
reduce,cut down,synonym
reduce,cut down,synonym
reduce,cut into,synonym
reduce,knock down,synonym
reduce,mark down,synonym
reduce,scale down,synonym
refrain,hold back,synonym
refuse,turn down,synonym
register,check in,synonym
register,check in,synonym
register,pick up on,synonym
rehearse,go through,synonym
rehearse,run over,synonym
rehearse,run through,synonym
reinforce,bolster up,synonym
reinstate,bring back,synonym
reinstate,bring back,synonym
reject,knock back,synonym
reject,shoot down,synonym
reject,throw out,synonym
reject,toss aside,synonym
reject,turn away from,synonym
relax,chill out,synonym
relax,kick back,synonym
relax,wind down,synonym
release,bring out,synonym
release,put out,synonym
relinquish,hand over,synonym
remain,stay on,synonym
remember,look back,synonym
remove,cut out,synonym
remove,take away,synonym
remove,take off ,synonym
remove,weed out,synonym
repay, pay back,synonym
replace,put back,synonym
represent,act for,synonym
represent,stand for,synonym
represent,sum up,synonym
repress,fight back,synonym
reprimand,speak to,synonym
reprimand,tell off,synonym
request,ask for,synonym
request,send for,synonym
require,call for,synonym
resemble,take after,synonym
reserve,keep back,synonym
reserve,set aside,synonym
resign,stand aside,synonym
resign,stand down,synonym
resolve,sort out,synonym
resolve,work out,synonym
respond,come back,synonym
restore,bring back,synonym
restrain,hold back,synonym
restrain,hold in,synonym
resuscitate,bring back,synonym
retain,keep back,synonym
retain,keep on,synonym
retaliate,fight back,synonym
retaliate,hit back,synonym
retaliate,hit back,synonym
retaliate,strike back,synonym
retouch,touch up,synonym
retreat,back away,synonym
retrieve,dig out,synonym
retrieve,get back,synonym
return,give back,synonym
return,go back,synonym
return,send back,synonym
return,take back,synonym
reveal,give away,synonym
reveal,let on,synonym
reverse,back up,synonym
revive,bring back,synonym
revive,bring round,synonym
revive,bring to,synonym
revive,wake up,synonym
revolve,go around,synonym
rewind,wind back,synonym
ring,call up,synonym
ring,phone up,synonym
rise,go up,synonym
rise,stand up,synonym
rob,hold up,synonym
rob,knock over,synonym
rob,stick up,synonym
ruin,mess up,synonym
ruin,muck up,synonym
sacrifice,give up,synonym
sandpaper,sand down,synonym
satisfy,fill up,synonym
score,chalk up,synonym
score,put away,synonym
score,rack up,synonym
scorn,look down on,synonym
search,scout around,synonym
search,scout round,synonym
select,pick out,synonym
separate,break up,synonym
separate,split up,synonym
separate,split up,synonym
serve,wait on,synonym
set,go down,synonym
shed,slough off,synonym
shoot,blow away,synonym
shorten,cut down,synonym
shorten,take up,synonym
shout,cry out,synonym
show,put out,synonym
shut,push to,synonym
silence,shut up,synonym
sink,bury in,synonym
sink,go down,synonym
skim,dip into,synonym
soar,shoot up,synonym
socialize,go out,synonym
sound,go off,synonym
spear,run through,synonym
spot,pick out,synonym
spot,pick out,synonym
spread,pass on,synonym
spread,put about,synonym
spread,put around,synonym
squander,fritter away,synonym
squander,gamble away,synonym
stabilize,calm down,synonym
stabilize,level off,synonym
stage,put on,synonym
start,break out,synonym
start,crank up,synonym
start,cut in,synonym
start,kick off,synonym
start,kick off,synonym
stay,put up,synonym
steal,knock off,synonym
steal,rip off,synonym
stifle,gulp back,synonym
stipulate,provide for,synonym
stop,cut out,synonym
stop,dry up,synonym
stop,give over,synonym
stop,jack in,synonym
stop,lay off,synonym
stop,leave off,synonym
stop,pull in,synonym
store,lay in,synonym
strengthen,beef up,synonym
strengthen,firm up,synonym
strike,come out,synonym
stumble,trip up,synonym
stun,knock out,synonym
stun,knock out,synonym
subside,die down,synonym
subtract,take away,synonym
succeed,come off,synonym
succeed,get on,synonym
suffer,brave out,synonym
suggest,put forward,synonym
summarize,sum up,synonym
summon,call in,synonym
summon,call in,synonym
summon,call out,synonym
summon,conjure up,synonym
summon,send for,synonym
support,back up,synonym
support,bear out,synonym
support,get behind,synonym
support,hold up,synonym
support,speak up for,synonym
support,stand by,synonym
support,stick up for,synonym
suppress,choke back,synonym
suppress,cover up,synonym
suppress,put down,synonym
surrender,hand in,synonym
survive,come through,synonym
survive,get by,synonym
survive,get through,synonym
survive,last out,synonym
survive,live on,synonym
survive,live through,synonym
survive,pull through,synonym
switch,change over,synonym
table,put down,synonym
tackle,deal with,synonym
tackle,go about,synonym
tease,have on,synonym
telephone,phone up,synonym
test,try out,synonym
tether,tie up,synonym
thrash,take apart,synonym
tolerate,live with,synonym
tolerate,put up with,synonym
tolerate,stand for,synonym
topple,bring down,synonym
topple,bring down,synonym
total,add up to,synonym
total,come to,synonym
total,count up,synonym
transform,shake up,synonym
transpire,turn out,synonym
transpire,turn out,synonym
trap,pen in,synonym
trip,fall over,synonym
